ID,Product,Format,Info,2022-09-07,2022-09-16,2022-11-06,2022-11-15,2022-11-25,2022-11-28,2022-12-05,2022-12-12,2022-12-20,2022-12-26,2023-01-02,2023-01-09,2023-01-16,2023-01-23,2023-01-31,2023-02-06,2023-02-13,2023-02-20,2023-02-28,2023-03-06,2023-03-13,2023-03-21,2023-03-27,2023-04-04,2023-04-15,2023-04-18,2023-04-24,2023-05-01,2023-05-08,2023-05-15,2023-05-22,2023-05-29,2023-06-05,2023-06-12,2023-06-27,2023-07-03,2023-07-11,2023-07-17,2023-07-24,2023-07-31,2023-08-08,2023-08-29,2023-09-05,2023-09-11,2023-09-14,2023-09-26,2023-10-02,2023-10-11,2023-10-16,2023-10-24,2023-10-30
3840,Guacamole Hacendado 95% aguacate fresco,Tarrina 500 g,"Guacamole, NFS",0.67,0.67,0.67,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.718,0.718,0.718,0.718,0.718,0.718,0.718,,0.69,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718
3852,Guacamole Hacendado 95% aguacate fresco,Tarrina 200 g,"Guacamole, NFS",0.825,0.825,0.825,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,,0.725,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
34149,Jengibre molido Hacendado,Bote 49 g,"Ginger root, pickled",2.654,0.2654,0.2654,0.2654,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266,0.3266
69326,Berenjena,Pieza 330 g aprox.,"Eggplant, cooked, as ingredient",0.165,0.199,0.219,0.219,0.215,0.215,0.215,0.215,0.215,0.215,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.259,0.259,0.259,0.199,0.229,0.229,0.229,0.209,0.209,0.199,0.199,0.199,0.199,0.189,0.189,0.189,0.189,0.179,0.179,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.179,0.179,0.179,0.179,0.179,0.179,0.179
31504,Huevos grandes L,Paquete 12 ud.,"Egg, whole, cooked, NS as to cooking method",0.2635,0.215,0.215,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.221,0.221,0.221,0.221,0.221,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
61023,Edamame soja verde Hacendado ultracongelada,Paquete 500 g,"Edamame, cooked",0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.326,0.326,0.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.326
16846,Dátiles desecados sin hueso Hacendado,Paquete 350 g,Date,0.6429,0.6429,0.6429,0.6429,0.6429,0.6429,0.6429,0.6429,0.6429,0.6429,0.6172,0.6172,0.6172,0.6172,0.6172,0.6172,0.6172,0.6172,0.6172,0.6172,0.6172,0.6172,0.6172,0.6172,0.6172,0.6172,0.6172,0.6172,0.6172,0.6172,0.6172,0.6172,0.6172,0.6172,0.6172,0.6172,0.6172,0.6286,0.6286,0.6286,0.6286,0.6286,0.6286,0.6286,0.6286,0.6286,0.6286,0.6286,0.6286,0.6286,0.6286
61162,Filetes de merluza Argentina sin piel Hacendado ultracongelados,Paquete 970 g escurrido,"Fish, NS as to type, steamed",0.6238,0.6238,0.6238,0.6238,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547,0.6547
51050,Mozzarella fresca de vaca Hacendado,Paquete 250 g (125 g escurrido),"Cheese, Mozzarella, NFS",0.72,0.72,0.76,0.76,0.84,0.84,0.84,0.84,0.84,0.84,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76
81928,Tacos de bacalao sin espinas Hacendado congelado en su punto de sal,Paquete 400 g escurrido,"Cod, cooked, NS as to cooking method",1.15,1.395,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495,1.495
6048,Chorizo oreado,Bandeja 360 g aprox.,Chorizo,0.635,0.635,0.662,0.662,0.662,0.662,0.662,0.662,0.662,0.662,0.662,0.662,0.662,0.662,0.662,0.662,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.715,0.715,0.715,0.715,0.715,0.715,0.715,0.715,0.715,0.69,0.69,0.715,0.715,0.715,0.715,0.715,0.715,0.715,0.715
50021,Queso de cabra Hacendado rulo,Paquete 200 g,"Cheese, goat",1.0,1.0,1.1,1.1,1.1,1.1,1.175,1.175,1.175,1.175,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
26029,Garbanzo cocido Hacendado,Tarro 570 g (400 g escurrido),"Chickpeas, from canned, no added fat",0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,,0.1875,0.1875,0.1875,0.1875,0.1875,0.2325,0.2325,0.2325,0.2175,0.2175,0.1975,0.1975,0.1975,0.1975,0.1975,0.1975,0.1975,0.1975,0.1975,0.1975,0.1975,0.1975,0.1975,0.1975,0.1975,0.1975,0.1975,0.1975,0.1975,0.1975,0.1975,0.1975,0.1975,0.1975,0.1975,0.1975,0.1975,0.1975,0.1775,0.1775,0.1775,0.1775
82302,Pan de molde con 55% centeno Hacendado,Paquete 16 rebanadas (720 g),"Bread, rye",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2153,0.2153,0.2153,0.2153,0.2153,0.2153,0.2153,0.2153,0.2153,0.2153,0.2153,0.2153,0.2153,0.2153,0.2153,0.2153,0.2153
10379,Leche entera Hacendado,6 bricks x 1 L,"Milk, whole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091
69166,Patatas,Malla 3 kg,"Potato, NFS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1434,0.1434,0.1434,0.1434,0.1434,0.1434,0.1434,0.1434,0.1434,0.1434,0.1434
18408,Filetes de anchoa en aceite de oliva Hacendado,3 bandejas x 29 g,"Anchovy, canned",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3909,3.3909,3.3909,3.3909,3.3909,3.3909,3.3909,3.3909,3.3909,3.3909,3.3909
2807,Tacos de vacuno añojo para guisar,Bandeja 600 g aprox.,"Beef, NS as to cut, cooked, lean and fat eaten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.23,1.23
2868,Preparado de carne picada vacuno,Bandeja 500 g,"Ground beef, cooked",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79
17228,Mostaza de Dijon Hacendado,Bote 200 g,Mustard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
